FishID,DateRespo,ExperimentID,Tank,RespoID,Resp.Vol.L,sex,Mass.g,TL.cm,FL.cm,SL.cm,Depth.cm,Curcumference.cm,filename,Ch,BW,t_min,t_max,t_mean,N_mo2,rmr,mmrChase,mmr,AS,mmr_length_cycle,treatm,origin,pregnant,sizeClass,FAS
1-GLTT1,4-Jun,spring,1,R2-12,2.227,F,43,14.5,13.5,11.4,4.6,10.8,jun04_2021_box3_smr1_mgO2L_analyzed_SMR,Ch4,0.043,19.71,20.34,20.01390805,87,0.170803986,0.307476541,0.329332,0.158528013,180,20,field,nP,YOY,1.928128299
1-GLTT1,9-Jun,spring,1,R2-11,2.227,F,43.5,14.4,13.6,11.4,4.8,10.9,jun09_2021_box3_smr1_mgO2L_analyzed_SMR,Ch3,0.0435,11.34,12,11.69979167,48,0.114917188,0.167902468,0.18163013,0.066712942,180,12,field,nP,YOY,1.580530581
1-GLTT1,28-May,spring,1,R2-10,2.227,F,41,14.2,13.5,14.2,4.9,10.6,may28_2021_box2_smr1_mgO2L_analyzed_SMR,Ch2,0.042,15.49,16.48,15.91402439,82,0.117758919,0.182135574,0.232019124,0.114260205,1,16,field,nP,YOY,1.97028918
1-GRDT1,4-Jun,spring,1,R2-9,2.227,M,62.5,16,15.2,13,5.6,12.4,jun04_2021_box3_smr1_mgO2L_analyzed_SMR,Ch1,0.0625,19.71,20.34,20.01390805,87,0.166686921,0.39555607,0.433514055,0.266827134,180,20,field,nP,> YOY,2.600768271
1-GRDT1,9-Jun,spring,1,R2-9,2.227,M,63.5,15.7,15,12.9,5.6,13,jun09_2021_box3_smr1_mgO2L_analyzed_SMR,Ch1,0.0635,11.33,11.98,11.62098592,71,0.129185491,0.221355178,0.221355178,0.092169687,180,12,field,nP,> YOY,1.713467787
1-GRDT1,28-May,spring,1,R2-11,2.227,M,61,15.9,15.1,12.5,5.5,12.5,may28_2021_box3_smr1_mgO2L_analyzed_SMR,Ch1,0.061,15.68,16.39,16.04646341,82,0.120570095,0.26867714,0.27145397,0.150883875,180,16,field,nP,> YOY,2.251420387
1-GRTT1,4-Jun,spring,1,R2-11,2.227,M,35,13.6,12.5,10.5,4.4,10,jun04_2021_box3_smr1_mgO2L_analyzed_SMR,Ch3,0.035,19.71,20.34,20.01402299,87,0.119879882,0.19743769,0.250251242,0.130371361,180,20,field,nP,YOY,2.087516594
1-GRTT1,28-May,spring,1,R2-1,1.95,M,34.5,13.2,12.4,12.4,4.6,10.2,may28_2021_box3_smr1_mgO2L_analyzed_SMR,Ch4,0.0345,15.68,16.39,16.05142857,77,0.084359895,0.164044695,0.164044695,0.0796848,180,16,field,nP,YOY,1.944581546
1-RRTB1,4-Jun,spring,1,R2-10,2.227,F,62.5,16.1,15.3,13.1,5.7,12.4,jun04_2021_box3_smr1_mgO2L_analyzed_SMR,Ch2,0.0625,19.71,20.34,20.01402299,87,0.241781084,0.437917796,0.464154571,0.222373487,180,20,field,nP,> YOY,1.919730705
1-RRTB1,9-Jun,spring,1,R2-12,2.227,F,63,16.1,15.5,13.1,5.3,12.4,jun09_2021_box3_smr1_mgO2L_analyzed_SMR,Ch4,0.063,11.34,11.98,11.63041096,73,0.125384129,0.234465332,0.324603192,0.199219063,180,12,field,nP,> YOY,2.588869854
1-RRTB1,28-May,spring,1,R2-12,2.227,F,61.5,15.2,13,13,5.5,12.3,may28_2021_box3_smr1_mgO2L_analyzed_SMR,Ch2,0.0615,15.68,16.39,16.04597561,82,0.148423847,0.3275042,0.42915277,0.280728924,180,16,field,nP,> YOY,2.891400406
2-GLTB1,3-Jun,spring,2,R2-10,2.227,M,65.5,15.5,15.4,12.9,5.5,12.4,jun03_2021_box3_smr1_mgO2L_analyzed_SMR,Ch2,0.0655,19.61,20.6,20.01118421,76,0.248544995,0.587553908,0.587553908,0.339008913,180,20,field,nP,> YOY,2.36397401
2-GLTB1,8-Jun,spring,2,R2-10,2.227,M,65.5,15.6,15.5,12.7,5.6,13,jun08_2021_box3_smr1_mgO2L_analyzed_SMR,Ch2,0.0655,11.35,12.46,11.68509091,55,0.092877184,0.276868394,0.30238811,0.209510926,180,12,field,nP,> YOY,3.255784644
2-GLTB1,27-May,spring,2,R2-5,1.95,M,65.5,15.8,15.5,12.9,5.8,12.8,may27_2021_box2_perch_smr1_mgO2L_analyzed_GLUED_n2_SMR,Ch1,0.0755,14.68,16.66,16.13666667,66,0.105501849,0.265595396,0.265595396,0.160093547,1,16,field,nP,> YOY,2.517447789
2-GRTB1,3-Jun,spring,2,R4-2,4.159,M,74,17,16.2,13.5,5.8,13.5,jun03_2021_box2_smr1_mgO2L_analyzed_SMR,Ch3,0.074,19.71,20.55,20.14493827,81,0.265079395,0.37565379,0.537195992,0.272116597,1,20,field,nP,> YOY,2.026547529
2-GRTB1,8-Jun,spring,2,R2-12,2.227,M,73.5,17,16.1,13.6,5.9,13.4,jun08_2021_box3_smr1_mgO2L_analyzed_SMR,Ch4,0.0735,11.35,12.46,11.638375,80,0.100791151,0.225082048,0.252353211,0.15156206,180,12,field,nP,> YOY,2.503723881
2-GRTB1,27-May,spring,2,R2-11,2.227,M,75.5,17.2,16,13.2,6.2,13.6,may27_2021_box3_perch_smr1_mgO2L_analyzed_GLUED_n2_SMR,Ch1,0.0755,15.06,16.54,15.7488,50,0.114745309,0.273594857,0.361462117,0.246716808,180,16,field,nP,> YOY,3.150125448
2-RLDT1,3-Jun,spring,2,R2-12,2.227,F,52.5,15.2,14.5,12,5.1,11.6,jun03_2021_box3_smr1_mgO2L_analyzed_SMR,Ch4,0.0525,19.61,20.6,20.00818182,77,0.174021562,0.464451769,0.464451769,0.290430207,180,20,field,nP,> YOY,2.668932306
2-RLDT1,8-Jun,spring,2,R2-9,2.227,F,53,15.1,14.5,12.4,5.1,12,jun08_2021_box3_smr1_mgO2L_analyzed_SMR,Ch1,0.053,11.35,12.46,11.65369863,73,0.073343458,0.219997903,0.263731744,0.190388286,180,12,field,nP,> YOY,3.595845509
2-RLDT1,27-May,spring,2,R2-1,1.95,F,52,14.9,14.5,12.6,5.4,12,may27_2021_box3_perch_smr1_mgO2L_analyzed_GLUED_n2_SMR,Ch4,0.052,15.06,16.54,15.7541791,67,0.094294511,0.232884573,0.289976413,0.195681902,1,16,field,nP,> YOY,3.075220497
2-RLTB1,3-Jun,spring,2,R2-9,2.227,M,64.5,16.5,15.5,13,5.5,12.6,jun03_2021_box3_smr1_mgO2L_analyzed_SMR,Ch1,0.0645,19.61,20.6,20.00493506,77,0.269741519,0.458074232,0.48601627,0.216274751,180,20,field,nP,> YOY,1.801785175
2-RLTB1,8-Jun,spring,2,R2-11,2.227,M,66.5,16.5,15.5,12.7,5.6,13.2,jun08_2021_box3_smr1_mgO2L_analyzed_SMR,Ch3,0.0665,11.35,12.46,11.64487179,78,0.094303105,0.263985761,0.279184536,0.18488143,180,12,field,nP,> YOY,2.960502042
2-RLTB1,27-May,spring,2,R2-10,2.227,M,65.5,16.6,15.5,13,5.6,12.8,may27_2021_box2_perch_smr1_mgO2L_analyzed_GLUED_n2_SMR,Ch2,0.0615,14.78,16.66,16.25857143,63,0.128573212,0.273902082,0.302096892,0.173523681,180,16,field,nP,> YOY,2.349609909
2-RRTT1,3-Jun,spring,2,R2-11,2.227,M,61.5,15.8,15.5,12.9,5.5,12.5,jun03_2021_box3_smr1_mgO2L_analyzed_SMR,Ch3,0.0615,19.61,20.6,20.00837838,74,0.240408124,0.414219133,0.417242881,0.176834757,180,20,field,nP,> YOY,1.735560653
2-RRTT1,8-Jun,spring,2,R4-1,4.159,M,62.5,15.8,15.5,12.7,5.5,12.7,jun08_2021_box2_smr2_mgO2L_analyzed_SMR,Ch2,0.0625,11.86,12.56,12.12481013,79,0.114736354,NA,0.249665399,0.134929044,NA,12,field,nP,> YOY,2.175992079
2-RRTT1,27-May,spring,2,R2-12,2.227,M,61.5,16,15.2,13,5.6,12.5,may27_2021_box3_perch_smr1_mgO2L_analyzed_GLUED_n2_SMR,Ch2,0.0615,15.07,16.54,15.74557377,61,0.134599528,0.304463513,0.310288708,0.175689181,180,16,field,nP,> YOY,2.305273381
BLDT1,1-Jun,spring,A2,R2-9,2.227,f,105,18.3,17.7,15,6.9,15.2,jun01_2021_box3_smr1_mgO2L_analyzed_GLUED_n2_SMR,Ch1,0.105,15.69,16.45,16.01227273,44,NA,0.51716965,0.51716965,NA,180,16,field,nP,> YOY,NA
BLTB1,1-Jun,spring,A2,R2-12,2.227,F,86,17.9,17.3,14.5,6.1,13.8,jun01_2021_box3_smr1_mgO2L_analyzed_GLUED_n2_SMR,Ch4,0.086,15.62,16.45,15.89890244,82,0.244143112,0.326151489,0.471960981,0.227817869,180,16,field,nP,> YOY,1.933132483
