"DATE_LOCAL","SITE","YEAR","MONTH","DAY","HR","MIN","MO_DAY","MO_DAY_HR","TEMP_C","TIME","TEMP_categ","TIME_dec","diff_time","diff_temp_c","changeRate_CperH","Streak"
"2020-5-1","NAPL",2020,5,1,13,20,"05-01","05-01_13",15.3314,2020-05-01 13:20:00,"all",1588353600,0.333333333333333,-0.493599999999999,-1.4808,"Increase"
"2020-5-1","NAPL",2020,5,1,13,40,"05-01","05-01_13",15.0154,2020-05-01 13:40:01,"all",1588354801,0.333611111111111,-0.316000000000001,-0.947210657785181,"Increase"
"2020-5-1","NAPL",2020,5,1,14,0,"05-01","05-01_14",14.5715,2020-05-01 14:00:02,"all",1588356002,0.333611111111111,-0.443899999999999,-1.33059117402165,"Increase"
"2020-5-1","NAPL",2020,5,1,14,20,"05-01","05-01_14",14.5282,2020-05-01 14:20:03,"all",1588357203,0.333611111111111,-0.0433000000000003,-0.129791840133223,"Increase"
"2020-5-1","NAPL",2020,5,1,14,39,"05-01","05-01_14",14.6034,2020-05-01 14:39:56,"all",1588358396,0.331388888888889,0.0752000000000006,0.226923721709977,"Increase"
"2020-5-1","NAPL",2020,5,1,14,59,"05-01","05-01_14",13.9317,2020-05-01 14:59:57,"all",1588359597,0.333611111111111,-0.671700000000001,-2.01342214820983,"Increase"
"2020-5-1","NAPL",2020,5,1,15,19,"05-01","05-01_15",13.5128,2020-05-01 15:19:58,"all",1588360798,0.333611111111111,-0.418899999999999,-1.25565362198168,"Increase"
"2020-5-1","NAPL",2020,5,1,15,39,"05-01","05-01_15",13.6806,2020-05-01 15:39:59,"all",1588361999,0.333611111111111,0.1678,0.502980849292256,"Increase"
"2020-5-1","NAPL",2020,5,1,16,0,"05-01","05-01_16",13.6043,2020-05-01 16:00:00,"all",1588363200,0.333611111111111,-0.0762999999999998,-0.228709408825978,"Increase"
"2020-5-1","NAPL",2020,5,1,16,20,"05-01","05-01_16",13.6421,2020-05-01 16:20:00,"all",1588364400,0.333333333333333,0.0377999999999989,0.113399999999997,"Increase"
"2020-5-1","NAPL",2020,5,1,16,40,"05-01","05-01_16",14.074,2020-05-01 16:40:01,"all",1588365601,0.333611111111111,0.431900000000001,1.29462114904247,"Increase"
"2020-5-1","NAPL",2020,5,1,17,0,"05-01","05-01_17",14.862,2020-05-01 17:00:02,"all",1588366802,0.333611111111111,0.788,2.36203164029975,"targetUP"
"2020-5-1","NAPL",2020,5,1,17,20,"05-01","05-01_17",15.7692,2020-05-01 17:20:03,"all",1588368003,0.333611111111111,0.9072,2.71933388842631,"targetUP"
"2020-5-1","NAPL",2020,5,1,17,39,"05-01","05-01_17",16.2096,2020-05-01 17:39:56,"all",1588369196,0.331388888888889,0.440399999999999,1.32895222129086,"Increase"
"2020-5-1","NAPL",2020,5,1,17,59,"05-01","05-01_17",16.1751,2020-05-01 17:59:57,"all",1588370397,0.333611111111111,-0.0344999999999978,-0.103413821815147,"Increase"
"2020-5-1","NAPL",2020,5,1,18,19,"05-01","05-01_18",16.0626,2020-05-01 18:19:58,"all",1588371598,0.333611111111111,-0.112500000000001,-0.337218984179852,"Increase"
"2020-5-1","NAPL",2020,5,1,18,39,"05-01","05-01_18",16.0651,2020-05-01 18:39:59,"all",1588372799,0.333611111111111,0.00250000000000128,0.0074937552040005,"Increase"
"2020-5-1","NAPL",2020,5,1,19,0,"05-01","05-01_19",16.1331,2020-05-01 19:00:00,"all",1588374000,0.333611111111111,0.0679999999999978,0.203830141548703,"Increase"
"2020-5-1","NAPL",2020,5,1,19,20,"05-01","05-01_19",16.1792,2020-05-01 19:20:00,"all",1588375200,0.333333333333333,0.0461000000000027,0.138300000000008,"Increase"
"2020-5-1","NAPL",2020,5,1,19,40,"05-01","05-01_19",16.1854,2020-05-01 19:40:01,"all",1588376401,0.333611111111111,0.00619999999999976,0.018584512905911,"Increase"
"2020-5-1","NAPL",2020,5,1,20,0,"05-01","05-01_20",16.1228,2020-05-01 20:00:02,"all",1588377602,0.333611111111111,-0.0625999999999998,-0.187643630308076,"Increase"
"2020-5-1","NAPL",2020,5,1,20,20,"05-01","05-01_20",15.9955,2020-05-01 20:20:03,"all",1588378803,0.333611111111111,-0.127300000000002,-0.381582014987516,"Increase"
"2020-5-1","NAPL",2020,5,1,20,39,"05-01","05-01_20",15.9239,2020-05-01 20:39:56,"all",1588379996,0.331388888888889,-0.0716000000000001,-0.216060352053647,"Increase"
