"DATE_LOCAL","SITE","YEAR","MONTH","DAY","HR","MIN","MO_DAY","MO_DAY_HR","TEMP_C","TIME","TEMP_categ","TIME_dec","diff_time","diff_temp_c","changeRate_CperH"
"2021-9-1","NAPL",2021,9,1,1,0,"09-01","09-01_1",16.2809,2021-09-01 01:00:00,"all",1630472400,NA,NA,NA
"2021-9-1","NAPL",2021,9,1,1,20,"09-01","09-01_1",16.3114,2021-09-01 01:20:00,"all",1630473600,0.333333333333333,0.0305,0.0914999999999999
"2021-9-1","NAPL",2021,9,1,1,40,"09-01","09-01_1",16.2614,2021-09-01 01:40:01,"all",1630474801,0.333611111111111,-0.0500000000000007,-0.149875104079936
"2021-9-1","NAPL",2021,9,1,2,0,"09-01","09-01_2",16.1947,2021-09-01 02:00:02,"all",1630476002,0.333611111111111,-0.0666999999999973,-0.199933388842623
"2021-9-1","NAPL",2021,9,1,2,20,"09-01","09-01_2",16.1245,2021-09-01 02:20:03,"all",1630477203,0.333611111111111,-0.0701999999999998,-0.210424646128226
"2021-9-1","NAPL",2021,9,1,2,39,"09-01","09-01_2",16.1646,2021-09-01 02:39:56,"all",1630478396,0.331388888888889,0.0400999999999989,0.121005867560768
"2021-9-1","NAPL",2021,9,1,2,59,"09-01","09-01_2",16.1373,2021-09-01 02:59:57,"all",1630479597,0.333611111111111,-0.0273000000000003,-0.0818318068276446
"2021-9-1","NAPL",2021,9,1,3,19,"09-01","09-01_3",15.6014,2021-09-01 03:19:58,"all",1630480798,0.333611111111111,-0.5359,-1.60636136552873
"2021-9-1","NAPL",2021,9,1,3,39,"09-01","09-01_3",14.9903,2021-09-01 03:39:59,"all",1630481999,0.333611111111111,-0.6111,-1.83177352206495
"2021-9-1","NAPL",2021,9,1,4,0,"09-01","09-01_4",14.7481,2021-09-01 04:00:00,"all",1630483200,0.333611111111111,-0.242199999999999,-0.725995004163193
"2021-9-1","NAPL",2021,9,1,4,20,"09-01","09-01_4",14.627,2021-09-01 04:20:00,"all",1630484400,0.333333333333333,-0.1211,-0.363300000000001
"2021-9-1","NAPL",2021,9,1,4,40,"09-01","09-01_4",14.6234,2021-09-01 04:40:01,"all",1630485601,0.333611111111111,-0.00360000000000049,-0.0107910074937567
"2021-9-1","NAPL",2021,9,1,5,0,"09-01","09-01_5",14.8306,2021-09-01 05:00:02,"all",1630486802,0.333611111111111,0.2072,0.621082431307245
"2021-9-1","NAPL",2021,9,1,5,20,"09-01","09-01_5",15.0419,2021-09-01 05:20:03,"all",1630488003,0.333611111111111,0.2113,0.633372189841797
"2021-9-1","NAPL",2021,9,1,5,39,"09-01","09-01_5",14.9958,2021-09-01 05:39:56,"all",1630489196,0.331388888888889,-0.0461000000000009,-0.139111483654655
"2021-9-1","NAPL",2021,9,1,5,59,"09-01","09-01_5",14.9255,2021-09-01 05:59:57,"all",1630490397,0.333611111111111,-0.0702999999999996,-0.210724396336385
"2021-9-1","NAPL",2021,9,1,6,19,"09-01","09-01_6",14.8705,2021-09-01 06:19:58,"all",1630491598,0.333611111111111,-0.0549999999999997,-0.164862614487926
"2021-9-1","NAPL",2021,9,1,6,39,"09-01","09-01_6",14.6573,2021-09-01 06:39:59,"all",1630492799,0.333611111111111,-0.2132,-0.639067443796838
"2021-9-1","NAPL",2021,9,1,7,0,"09-01","09-01_7",14.5167,2021-09-01 07:00:00,"all",1630494000,0.333611111111111,-0.140599999999999,-0.42144879267277
"2021-9-1","NAPL",2021,9,1,7,20,"09-01","09-01_7",14.451,2021-09-01 07:20:00,"all",1630495200,0.333333333333333,-0.0656999999999996,-0.197099999999999
"2021-9-1","NAPL",2021,9,1,7,40,"09-01","09-01_7",13.9854,2021-09-01 07:40:01,"all",1630496401,0.333611111111111,-0.4656,-1.39563696919234
"2021-9-1","NAPL",2021,9,1,8,0,"09-01","09-01_8",13.5026,2021-09-01 08:00:02,"all",1630497602,0.333611111111111,-0.482800000000001,-1.44719400499584
"2021-9-1","NAPL",2021,9,1,8,20,"09-01","09-01_8",14.212,2021-09-01 08:20:03,"all",1630498803,0.333611111111111,0.7094,2.1264279766861
"2021-9-1","NAPL",2021,9,1,8,39,"09-01","09-01_8",15.2828,2021-09-01 08:39:56,"all",1630499996,0.331388888888889,1.0708,3.23124895222129
"2021-9-1","NAPL",2021,9,1,8,59,"09-01","09-01_8",15.1098,2021-09-01 08:59:57,"all",1630501197,0.333611111111111,-0.173,-0.51856786011657
"2021-9-1","NAPL",2021,9,1,9,19,"09-01","09-01_9",14.8769,2021-09-01 09:19:58,"all",1630502398,0.333611111111111,-0.232900000000001,-0.698118234804332
"2021-9-1","NAPL",2021,9,1,9,39,"09-01","09-01_9",15.3998,2021-09-01 09:39:59,"all",1630503599,0.333611111111111,0.522900000000002,1.56739383846795
"2021-9-1","NAPL",2021,9,1,10,0,"09-01","09-01_10",15.5992,2021-09-01 10:00:00,"all",1630504800,0.333611111111111,0.199399999999999,0.597701915070771
"2021-9-1","NAPL",2021,9,1,10,20,"09-01","09-01_10",15.3524,2021-09-01 10:20:00,"all",1630506000,0.333333333333333,-0.2468,-0.740400000000001
"2021-9-1","NAPL",2021,9,1,10,40,"09-01","09-01_10",15.2838,2021-09-01 10:40:01,"all",1630507201,0.333611111111111,-0.0686,-0.205628642797669
"2021-9-1","NAPL",2021,9,1,11,0,"09-01","09-01_11",14.9705,2021-09-01 11:00:02,"all",1630508402,0.333611111111111,-0.3133,-0.939117402164862
"2021-9-1","NAPL",2021,9,1,11,20,"09-01","09-01_11",14.4034,2021-09-01 11:20:03,"all",1630509603,0.333611111111111,-0.5671,-1.6998834304746
